Code,MumCode,Sire,Code_anon,MumCode_anon,Sire_anon
CSH13,WAL03,RUM04,C4929,M0642,D262
DAK13,SOX08,CLW00,C2723,M0362,D298
DEN13,PRC07,DEO07,C0769,M1020,D423
DID13,FDL00,ALD99,C3697,M0101,D154
DUB13,STI02,RUM03,C0946,M0596,D336
EDA13,CHD05,MOU05,C4259,M1002,D332
EDD13,RUF09,MOU05,C5720,M0480,D332
EMB13,CND04,SHAGG,C1268,M0295,D031
FIB13,FMR06,TRT02,C1488,M0994,D461
FLU13,PCO06,SPD01,C5708,M0739,D053
GGZ13,CHD10,FRT03,C2036,M0376,D269
GLR13,LPA02,NA,C1329,M0940,NA
GNB13,SLO01,D0551,C0296,M0867,D094
GRUNT,NA,NA,C2571,NA,NA
GYP13,TIN00,ROGER,C0323,M0700,D207
HAN13,JAE08,NA,C4282,M0312,NA
HDX13,GTR06,WBEYS,C1471,M0232,D198
HEX13,HED08,NA,C4686,M0819,NA
HIM13,OXY06,STERN,C3221,M0040,D131
IRI13,AYE09,FLG00,C5566,M0921,D071
JAD13,RBY03,SPD01,C2442,M0244,D053
JAV13,ARB11,NA,C5977,M0335,NA
JESSI,NA,NA,C5570,NA,NA
JIMMY,NA,NA,C1477,NA,NA
LEI13,RAP06,SYC02,C3966,M0080,D228
LIA13,ARA09,NA,C3315,M0657,NA
LPA13,LMS97,ZAPHO,C2877,M0606,D174
MAJ13,PRC06,SYC02,C0863,M0820,D228
MCD13,WAL06,STERN,C0481,M0319,D131
MDD13,MEG06,PCN06,C0558,M0240,D475
MEE13,YEW99,FRT05,C4127,M1025,D337
MIC13,SCR04,NA,C2258,M0694,NA
MNG13,TRT03,LAPHR,C0353,M0668,D405
MNM13,CHN03,WBEYS,C1108,M0910,D198
NAV13,SEQ05,ROGER,C0380,M0458,D207
ONY13,RBY05,SPD01,C5175,M0305,D053
ORA13,ANM02,STERN,C2898,M0417,D131
OYS13,SLL09,ROGER,C3968,M0552,D207
PCN13,WAL02,STERN,C2099,M0425,D131
PEA13,NEC05,MOU05,C2127,M0530,D332
PHA13,LPA04,D0608,C1093,M0924,D155
PPT13,WAG06,FLG00,C4093,M0042,D071
PUF13,POM97,JAE05,C4733,M0864,D026
QTZ13,TIC07,STERN,C3451,M0373,D131
RAS13,MTT08,ROGER,C5804,M0360,D207
RDD13,CLK04,SPD01,C2303,M0436,D053
RHE13,OXY05,STERN,C4135,M0181,D131
ROB13,WRE07,SPD01,C3962,M0276,D053
RPP13,RUF00,RBY07,C4223,M0865,D264
RSS13,SCT09,NA,C1121,M0320,NA
RUM13,STI96,MOU05,C4839,M0063,D332
SAG13,SEM95,SCRAT,C3705,M0370,D188
SCP13,EID03,ROGER,C5885,M0489,D207
SCROL,NA,NA,C1314,NA,NA
SDY13,RUM09,CLW00,C0382,M0622,D298
SHOBO,MODNP,RPP06,C2699,M0430,D437
SLL13,PAN00,SPL04,C1978,M1021,D460
SLR13,FLG98,RUM04,C1451,M0546,D262
SML13,WHF10,SYC00,C0581,M0284,D487
SOX13,SEQ01,MOU05,C0938,M0880,D332
SPY13,RPP08,ROGER,C5621,M0487,D207
STN13,LMS05,CLW00,C2623,M0696,D298
